"Address3","County (name)","CloseDate","EstablishmentName","EstablishmentNumber","OpenDate","EstablishmentStatus (name)","Gender (name)","HeadFirstName","HeadHonours","HeadLastName","HeadPreferredJobTitle","HeadTitle (name)","LastChangedDate","LA (name)","LA (code)","Locality","Postcode","PreviousEstablishmentNumber","PreviousLA (name)","PreviousLA (code)","ReasonEstablishmentClosed (name)","ReasonEstablishmentOpened (name)","StatutoryHighAge","StatutoryLowAge","Street","TelephoneNum","TelephoneSTD","Town","TypeOfEstablishment (name)","UKPRN","URN","WebsiteAddress","OfficialSixthForm (name)","FEHEIdentifier","FurtherEducationType (name)","PhaseOfEducation (name)","AdmissionsPolicy (name)","Boarders (name)","BoardingEstablishment (name)","Diocese (name)","OfstedLastInsp","PercentageFSM","RegisteredEY (name)","ReligiousCharacter (name)","SchoolCapacity","MainSpecialism2 (name)","SecondarySpecialism2 (name)","Trusts (name)","TrustSchoolFlag (name)","Federations (name)","FederationFlag (name)","SchoolSponsors (name)","SchoolSponsorFlag (name)","StudioSchoolIndicator (name)","GSSLACode (name)","ASCHighestAge","ASCLowestAge","Boys2","Boys3","Boys4a","Boys4b","Boys4c","Boys5","Boys6","Boys7","Boys8","Boys9","Boys10","Boys11","Boys12","Boys13","Boys14","Boys15","Boys16","Boys17","Boys18","Boys19plus","CensusDate","Girls2andUnder","Girls3","Girls4a","Girls4b","Girls4c","Girls5","Girls6","Girls7","Girls8","Girls9","Girls10","Girls11","Girls12","Girls13","Girls14","Girls15","Girls16","Girls17","Girls18","Girls19plus","NumberOfBoys","NumberOfGirls","NumberOfPupils","AdministrativeWard (name)","GOR (name)","LLSC (name)","LSOA (name)","MSOA (name)","ParliamentaryConstituency (name)","UrbanRural (name)","Easting","Northing","MainSpecialism1 (name)","SecondarySpecialism1 (name)","FreshStart (name)","HP_Leading_Option_1 (name)","HP_Leading_Option_2 (name)","HP_Leading_Option_3 (name)","InvestorInPeople (name)","OfstedSpecialMeasures (name)","PFI (name)","SpecialClasses (name)","TeenMothPlaces","TeenMoth (name)","ApprovedNumberBoardersSpecial","SpecialPupils","CCF (name)","FTProv (name)","EdByOther (name)","EBD (name)","SENPRU (name)","SEN1 (name)","SEN2 (name)","SEN3 (name)","Section41Approved (name)"
"","","31-08-2014","Hartsbrook E-Act Free School",2012,"28-08-2012","Closed","Mixed","Sonia","","Mallick","","Mrs","31-08-2014","Haringey","309","Tottenham","N15 4RX","","","999","Transferred to new sponsor","New Provision",11,4,"Town Hall Approach Road","36513800","020","","Free Schools",10037674,138259,"www.hefs.org.uk","Does not have a sixth form","","","Primary","Not applicable","","","Not applicable","29-01-2014","28.6","","Does not apply",420,"","","","-","","Not applicable","","-","Not applicable","E09000014",6,3,"0","0","9","x","7","21","12","0","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","x","7","5","7","36","12","0","0","0","0","0","0","0","0","0","0","0","0","0","50","70","119","Tottenham Green","London","","Haringey 025A","Haringey 025","Tottenham","Urban > 10k - less sparse",533650,189353,"","","Not applicable","","","","Uninvolved at present","In special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Merseyside","","The Hawthorne's Free School",4000,"28-08-2012","Open","Mixed","Michael","","Taylor","","Mr","02-12-2014","Sefton","343","","L20 6AQ",2001,"","999","","New Provision",16,11,"Fernhill Road","9223798","0151","Bootle","Free Schools",10037668,138260,"","Does not have a sixth form","","","Secondary","Comprehensive","","","Not applicable","05-02-2014","42.1","","None",600,"","","Hawthorne's Free School, The","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E08000014",16,11,"0","0","0","0","0","0","0","0","0","0","0","24","10","27","45","48","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","24","31","37","54","56","x","0","0","0","155","205","357","Derby","North West","","Sefton 035A","Sefton 035","Bootle","Urban > 10k - less sparse",334845,396730,"","","Not applicable","","","","Uninvolved at present","In special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","East Sussex","","Bilingual Primary School - Brighton & Hove",2008,"17-08-2012","Open","Mixed","Carolina","","Gopal","","Ms","08-08-2014","Brighton and Hove","846","","BN1 9PW","","","999","","New Provision",11,4,"Lewes Road","414096","01273","Brighton","Free Schools",10037666,138261,"","Does not have a sixth form","","","Primary","Not applicable","","","Not applicable","18-06-2014","10.1","","None",420,"","","Bilingual Primary School Project Limited","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E06000043",6,4,"0","0","8","6","15","29","12","0","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","10","7","12","22","17","0","0","0","0","0","0","0","0","0","0","0","0","0","70","70","138","Moulsecoomb and Bevendean","South East","","Brighton and Hove 002C","Brighton and Hove 002","Brighton, Kemptown","Urban > 10k - less sparse",534234,108203,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","","","City Gateway 14-19 Provision",1101,"03-09-2012","Open","Mixed","Eddie","","Stride","","Mr","02-01-2015","Tower Hamlets","211","Mastmaker Road","E14 9UB","","","999","","New Provision",19,14,"32 Mastmaker Court","37276309","020","London","Free Schools - Alternative Provision",10037669,138262,"","Has a sixth form","","","Not applicable","Not applicable","","","Not applicable","","52.2","","None",486,"","","City Gateway 14-16 Provision","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E09000030",15,14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","26","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","12","0","0","0","0","30","15","46","Millwall","London","","Tower Hamlets 029B","Tower Hamlets 029","Poplar and Limehouse","Urban > 10k - less sparse",537421,179723,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","","","Southwark Free School",2000,"20-08-2012","Open","Mixed","Elizabeth","","Marriott","","Mrs","29-12-2014","Southwark","210","Pencraig Way","SE15 1SH","","","999","","New Provision",11,4,"Ledbury Community Hall","76354256","020","London","Free Schools",10037670,138263,"","Does not have a sixth form","","","Primary","Not applicable","","","Not applicable","27-03-2014","54.5","","Does not apply",420,"","","Southwark Free Schools Trust","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E09000028",5,4,"0","0","x","0","x","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","x","x","x","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","15","33","Livesey","London","","Southwark 018B","Southwark 018","Camberwell and Peckham","Urban > 10k - less sparse",534614,177589,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Nottinghamshire","","Stone Soup Academy",1100,"03-09-2012","Open","Mixed","Chris","","Manze","","Mr","08-07-2014","Nottingham","892","","NG1 1HN",2002,"","999","","New Provision",19,11,"14 High Pavement","8221834","0115","Nottingham","Free Schools - Alternative Provision",10037676,138264,"","Has a sixth form","","","Not applicable","Not applicable","","","Not applicable","07-05-2014","x","","None",100,"","","Stone Soup Learns","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E06000018",15,15,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","10","5","14","Bridge","East Midlands","","Nottingham 033A","Nottingham 033","Nottingham South","Urban > 10k - less sparse",457541,339613,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","","","Hackney University Technical College",4001,"02-08-2012","Open","Mixed","Catharine","","Wensley","","Ms","16-02-2015","Hackney","204","","N1 6HQ",2001,"","999","","New Provision",16,15,"Falkirk Street","76139212","020","London","University Technical College",10037671,138265,"","Does not have a sixth form","","","Secondary","Comprehensive","No Boarders","","Not applicable","15-01-2014","46.5","","None",400,"","","Hackney UTC","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E09000012",16,14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","28","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","44","x","0","0","0","50","65","115","Haggerston","London","","Hackney 027B","Hackney 027","Hackney South and Shoreditch","Urban > 10k - less sparse",533326,183062,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Middlesex","","Reach Academy Feltham",4000,"28-08-2012","Open","Mixed","Edward","","Vainker","","Mr","28-01-2015","Hounslow","313","","TW13 4AB",2005,"","999","","New Provision",19,4,"53-55 High Street","88931099","020","Feltham","Free Schools",10037673,138266,"","Has a sixth form","","","All Through","Comprehensive","No Boarders","","Not applicable","11-03-2014","20.1","","",840,"","","Reach Academy","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E09000018",12,4,"0","0","6","9","11","27","0","0","0","0","0","27","21","0","0","0","0","0","0","0","16-01-2014","0","0","10","10","13","34","0","0","0","0","0","33","18","0","0","0","0","0","0","0","100","120","219","Hanworth Park","London","","Hounslow 027D","Hounslow 027","Feltham and Heston","Urban > 10k - less sparse",510488,172771,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","","","Bolingbroke Academy",4000,"17-08-2012","Open","Mixed","Claire","","Edis","","Ms","11-03-2015","Wandsworth","212","","SW11 6BF",2000,"","999","","New Provision",18,11,"Wakehurst Road","79248200","020","London","Free Schools",10038719,138267,"","Has a sixth form","","","Secondary","Comprehensive","","","Not applicable","03-12-2013","26.7","","None",800,"","","ARK Schools","Linked to a multi-academy trust","","Not applicable","ARK Schools","Linked to a sponsor","Not applicable","E09000032",12,11,"0","0","0","0","0","0","0","0","0","0","0","59","73","0","0","0","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","62","49","0","0","0","0","0","0","0","130","110","243","Northcote","London","","Wandsworth 015B","Wandsworth 015","Battersea","Urban > 10k - less sparse",527362,174607,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Shropshire","","Barrow 1618 CofE Free School",2000,"02-08-2012","Open","Mixed","John","","Newton","","Mr","08-07-2014","Shropshire","893","Barrow","TF12 5BW","","","999","","New Provision",11,4,"","388640","01952","Broseley","Free Schools",10038151,138268,"","Does not have a sixth form","","","Primary","Not applicable","","","Diocese of Hereford","13-05-2014","10.4","","Church of England",70,"","","Barrow 1618 The School Co","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E06000051",10,4,"0","0","x","0","3","3","5","6","8","3","x","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","x","x","5","5","5","5","x","8","4","0","0","0","0","0","0","0","0","0","30","35","67","Much Wenlock","West Midlands","","Bridgnorth 003D","Bridgnorth 003","Ludlow","Hamlet and Isolated Dwelling - less sparse",365902,300152,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Oxfordshire","","Europa School Uk",4002,"28-08-2012","Open","Mixed","Peter","","Ashbourne","","Mr","08-08-2014","Oxfordshire","931","Culham","OX14 3DZ",2000,"","999","","New Provision",19,4,"Thame Lane","524060","01235","Abingdon","Free Schools",10038571,138269,"","Has a sixth form","","","All Through","Comprehensive","","","Not applicable","18-06-2014","2.7","","Does not apply",784,"","","Europa School UK","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E10000025",8,4,"0","0","7","3","19","27","26","30","x","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","9","7","11","29","30","25","0","0","0","0","0","0","0","0","0","0","0","0","115","110","224","Sandford","South East","","South Oxfordshire 006F","South Oxfordshire 006","Henley","Village - less sparse",451358,195465,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","","","Harris Primary Free School Peckham",2001,"28-08-2012","Open","Mixed","Catherine","","Loxton","","Ms","15-01-2015","Southwark","210","","SE15 5DZ","","","999","","New Provision",11,4,"112 Peckham Road","77034417","020","Peckham","Free Schools",10038729,138270,"","Does not have a sixth form","","","Primary","Not applicable","","","Not applicable","27-03-2014","53.7","","",420,"","","Harris Federation","Linked to a multi-academy trust","","Not applicable","Harris Federation","Linked to a sponsor","Not applicable","E09000028",5,4,"0","0","13","11","14","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","13","3","7","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75","45","121","The Lane","London","","Southwark 025E","Southwark 025","Camberwell and Peckham","Urban > 10k - less sparse",533824,176735,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Cambridgeshire","","City of Peterborough Academy, Special School",7000,"17-08-2012","Open","Mixed","Sue","","Bailey","Principal","Mrs","27-06-2014","Peterborough","874","","PE1 5LQ",2000,"","999","","New Provision",18,4,"Reeves Way","821403","01733","Peterborough","Free Schools Special",10038722,138271,"http://www.copaspecialschool.org/","Has a sixth form","","","Not applicable","Not applicable","No Boarders","","Not applicable","26-02-2014","29.8","","None",90,"","","Greenwood Dale Foundation Trust","Linked to a multi-academy trust","","Not applicable","Greenwood Dale Foundation Trust","Linked to a sponsor","Not applicable","E06000031",13,4,"0","0","0","x","x","8","5","3","5","5","12","5","4","0","0","0","0","0","0","0","16-01-2014","0","0","0","0","0","0","x","x","0","x","0","x","x","x","0","0","0","0","0","0","50","5","57","East","East of England","","Peterborough 013E","Peterborough 013","Peterborough","Urban > 10k - less sparse",520633,300042,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"Golders Green","","","Rimon Jewish Primary School",2004,"28-08-2012","Open","Mixed","Zoe","","Dunn","Headteacher","Dr","15-12-2014","Barnet","302","","NW11 8AE","","","999","","New Provision",11,5,"41a Dunstan Road","82091805","020","London","Free Schools",10038574,138272,"www.rimonschool.org.uk","Does not have a sixth form","","","Primary","Not applicable","","","Not applicable","11-03-2014","0","","Jewish",196,"","","Rimon Jewish Primary School","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E09000003",5,4,"0","0","5","0","9","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","x","3","8","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","25","47","Childs Hill","London","","Barnet 038A","Barnet 038","Finchley and Golders Green","Urban > 10k - less sparse",524705,187020,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Suffolk","","Saxmundham Free School",4010,"17-08-2012","Open","Mixed","David","","Lees","","Mr","16-02-2015","Suffolk","935","","IP17 1DZ",2006,"","999","","New Provision",16,11,"Seaman Avenue","633910","01728","Saxmundham","Free Schools",10038738,138273,"www.saxmundhamfreeschool.org.uk","Does not have a sixth form","","","Secondary","Comprehensive","","","Not applicable","21-05-2014","17.6","","None",600,"","","Seckford Foundation Free Schools Trust, The","Linked to a multi-academy trust","","Not applicable","","-","Not applicable","E10000029",15,11,"0","0","0","0","0","0","0","0","0","0","0","36","14","13","28","0","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","29","16","12","21","x","0","0","0","0","90","80","170","Saxmundham","East of England","","Suffolk Coastal 003D","Suffolk Coastal 003","Suffolk Coastal","Town and Fringe - less sparse",638030,262874,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Suffolk","","Beccles Free School",4016,"17-08-2012","Open","Mixed","Sandra","","Govender","","Mrs","31-03-2015","Suffolk","935","","NR34 7BQ",2010,"","999","","New Provision",16,11,"Castle Hill","718850","01502","Beccles","Free Schools",10038718,138274,"","Does not have a sixth form","","","Secondary","Comprehensive","No Boarders","","Not applicable","21-05-2014","16.8","","None",600,"","","Seckford Foundation Free Schools Trust, The","Linked to a multi-academy trust","","Not applicable","","-","Not applicable","E10000029",15,11,"0","0","0","0","0","0","0","0","0","0","0","31","15","26","22","0","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","24","21","28","28","x","0","0","0","0","95","105","197","Beccles South","East of England","","Waveney 010D","Waveney 010","Waveney","Urban > 10k - less sparse",642912,289675,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","","","The Minerva Academy",2001,"31-08-2012","Open","Mixed","Helen","","O'donoghue","","Ms","22-10-2014","Westminster","213","","W2 2HR","","","999","","New Provision",11,4,"157 Edgware Road","77236406","020","London","Free Schools",10038721,138275,"","Does not have a sixth form","","","Primary","Not applicable","","","Not applicable","21-01-2014","51.7","","None",392,"","","REACH2ThamesValley Academy Trust","Linked to a multi-academy trust","","Not applicable","REAch2 Academy Trust","Linked to a sponsor","Not applicable","E09000033",7,4,"0","0","9","3","10","21","5","6","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","5","3","6","12","3","4","0","0","0","0","0","0","0","0","0","0","0","0","55","35","87","Hyde Park","London","","Westminster 015C","Westminster 015","Cities of London and Westminster","Urban > 10k - less sparse",527282,181421,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","","","Solebay Primary - A Paradigm Academy",2008,"28-08-2012","Open","Mixed","Amanda","","Phillips","Executive Principal","Ms","16-10-2014","Tower Hamlets","211","","E1 4PW","","","999","","New Provision",11,4,"11 Solebay Street","89802414","020","London","Free Schools",10038720,138276,"www.solebayacademy.org","Does not have a sixth form","","","Primary","Not applicable","","","Not applicable","11-02-2014","52.5","","None",350,"","","Paradigm Trust","Linked to a multi-academy trust","","Not applicable","Paradigm Trust","Linked to a sponsor","Not applicable","E09000030",7,4,"0","0","11","4","14","35","3","0","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","6","3","12","30","3","x","0","0","0","0","0","0","0","0","0","0","0","0","65","55","122","Mile End and Globe Town","London","","Tower Hamlets 010A","Tower Hamlets 010","Bethnal Green and Bow","Urban > 10k - less sparse",536202,182242,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Derbyshire","","Derby Pride Academy",1105,"03-09-2012","Open","Mixed","Wendy","","Whelan","Executive Principal","Mrs","24-06-2014","Derby","831","Pride Park","DE24 8BY",2009,"Derbyshire","830","","New Provision",16,11,"20 Orient Way","349616","01332","Derby","Free Schools - Alternative Provision",10038725,138277,"www.derbyprideacademy.org","Does not have a sixth form","","","Not applicable","Not applicable","No Boarders","","Not applicable","29-04-2014","x","","None",50,"","","Derby Pride Trust","Linked to a multi-academy trust","","Not applicable","","-","Not applicable","E06000015",15,14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","x","3","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","4","Alvaston","East Midlands","","Derby 024D","Derby 024","Derby South","Urban > 10k - less sparse",437051,334963,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Essex","","The Gateway Primary Free School",2024,"30-08-2012","Open","Mixed","Thom","","Martin","Head of School","Mr","28-01-2015","Thurrock","883","","RM16 4LU","","","999","","New Provision",11,4,"Marshfoot Road","489094","01375","Grays","Free Schools",10038727,138334,"http://www.theglc-primaryfreeschool.org.uk","Does not have a sixth form","","","Primary","Not applicable","","","Not applicable","25-02-2014","32.7","","",630,"","","Gateway Learning Community","Linked to a multi-academy trust","","Not applicable","Gateway Academy Trust","Linked to a sponsor","Not applicable","E06000034",10,4,"0","0","6","6","9","0","0","0","0","0","28","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","8","8","4","0","0","0","0","0","38","0","0","0","0","0","0","0","0","0","50","60","107","Chadwell St Mary","East of England","","Thurrock 012C","Thurrock 012","Thurrock","Urban > 10k - less sparse",564218,177833,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Staffordshire","","The Rural Enterprise Academy",4007,"17-08-2012","Open","Mixed","Lorraine","","Makin","Principal","Mrs","24-06-2014","Staffordshire","860","","ST19 5PH",2001,"","999","","New Provision",19,14,"Rodbaston Campus","333360","01785","Penkridge","Free Schools",10038332,138351,"www.ruralenterpriseacademy.com","Has a sixth form","","","Secondary","Comprehensive","","","Not applicable","12-03-2014","6.1","","None",300,"","","Rural Enterprise Academy, The","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E10000028",16,14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","13","x","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","18","x","0","0","0","30","55","84","Penkridge South East","West Midlands","","South Staffordshire 001D","South Staffordshire 001","Stafford","Village - less sparse",392176,311645,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Berkshire","","Oakbank",4000,"16-08-2012","Open","Mixed","Andy","Obe","Kilpatrick","Interim Principal","Mr","08-07-2014","Wokingham","872","Ryeish Green","RG7 1ER",2000,"","999","","New Provision",16,11,"Hyde End Lane","9883616","0118","","Free Schools",10038735,138367,"www.oakbank-cfbt.org","Does not have a sixth form","","","Secondary","Comprehensive","No Boarders","","Not applicable","14-05-2014","11.3","","Does not apply",560,"","","CFBT Schools Trust","Linked to a multi-academy trust","","Not applicable","CfBT Education Trust","Linked to a sponsor","Not applicable","E06000041",13,11,"0","0","0","0","0","0","0","0","0","0","0","42","28","x","0","0","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","39","39","x","0","0","0","0","0","0","70","80","150","Shinfield South","South East","","Wokingham 017B","Wokingham 017","Wokingham","Hamlet and Isolated Dwelling - less sparse",472097,167653,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","","","Parkside Studio College",4000,"31-08-2012","Open","Mixed","Nicholas","","Obie","","Mr","24-03-2015","Hillingdon","312","","UB3 2SE",2001,"","999","","New Provision",19,13,"Wood End Green Road","85732097","020","Hayes","Studio Schools",10038736,138368,"","Has a sixth form","","","Secondary","Comprehensive","No Boarders","","Not applicable","13-02-2014","29.1","","Does not apply",300,"","","Rosedale Hewens Academy Trust, The","Linked to a multi-academy trust","","Not applicable","Rosedale Hewens Academy Trust","Linked to a sponsor","Not applicable","E09000017",18,13,"0","0","0","0","0","0","0","0","0","0","0","0","0","15","17","27","x","x","4","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","0","0","20","15","23","x","3","3","0","65","65","132","Botwell","London","","Hillingdon 024B","Hillingdon 024","Hayes and Harlington","Urban > 10k - less sparse",509087,181288,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Merseyside","","Everton Free School",1109,"24-08-2012","Open","Mixed","Adrian","","Packer","","Mr","04-03-2015","Liverpool","341","Roscoe Street","L1 9DW",2013,"","999","","New Provision",19,14,"The Learning Exchange","2521515","0151","Liverpool","Free Schools - Alternative Provision",10037850,138379,"","Has a sixth form","","","Not applicable","Not applicable","No Boarders","","Not applicable","14-05-2014","30","","Does not apply",200,"","","Everton in the Community Free School Trust","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E08000012",19,15,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","26","3","3","x","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","x","0","x","0","50","5","55","Riverside","North West","","Liverpool 033B","Liverpool 033","Liverpool, Riverside","Urban > 10k - less sparse",335312,389804,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"Woodhouse Cliff","West Yorkshire","","Lighthouse School Leeds",7004,"06-08-2012","Open","Mixed","Louise","","Greatrex","Headteacher","Mrs","20-01-2015","Leeds","383","Bedford Field","LS6 2LG",2000,"","999","","New Provision",19,11,"C/O Derek Flatchett City Learning Centre","2844263","0113","Leeds","Free Schools Special",10038236,138380,"www.lighthouseschool.co.uk","Has a sixth form","","","Not applicable","Not applicable","No Boarders","","Not applicable","11-03-2014","35","","Does not apply",50,"","","Lighthouse School","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E08000035",15,11,"0","0","0","0","0","0","0","0","0","0","0","7","5","x","x","x","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","x","x","0","0","0","0","0","0","0","15","5","20","Hyde Park and Woodhouse","Yorkshire and the Humber","","Leeds 049C","Leeds 049","Leeds Central","Urban > 10k - less sparse",429160,435791,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Middlesex","","Enfield Heights Academy",2016,"15-08-2012","Open","Mixed","Emma","","Breckenridge","","Miss","05-11-2014","Enfield","308","Enfield Highway","EN3 5BY","","","999","","New Provision",11,4,"Pitfield Way","88059811","020","Enfield","Free Schools",10038726,138381,"www.enfieldheightsacademy.org.uk","Does not have a sixth form","","","Primary","Not applicable","No Boarders","","Not applicable","27-03-2014","29.4","","Christian",175,"","","Cuckoo Hall Academies Trust","Linked to a multi-academy trust","","Not applicable","","-","Not applicable","E09000010",5,3,"0","x","x","x","3","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","4","4","9","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","30","51","Turkey Street","London","","Enfield 006E","Enfield 006","Enfield North","Urban > 10k - less sparse",535211,197901,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Somerset","","Steiner Academy Frome",4002,"21-08-2012","Open","Mixed","Trevor","","Mepham","Principal","Mr","13-02-2015","Somerset","933","","BA11 1EU",2000,"","999","","New Provision",16,4,"Park Road","832804","01373","Frome","Free Schools",10037925,138383,"","Does not have a sixth form","","","All Through","Comprehensive","No Boarders","","Not applicable","26-02-2014","3.8","","Does not apply",624,"","","Steiner Academy Frome","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E10000027",10,4,"0","0","4","5","8","13","16","13","14","12","x","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","3","4","x","12","15","13","11","10","4","0","0","0","0","0","0","0","0","0","85","75","160","Frome Park","South West","","Mendip 004B","Mendip 004","Somerton and Frome","Urban > 10k - less sparse",377258,147761,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
